#    Dat Name: Sega - 32X
#     Version: 20130217-102211
# Description: Sega - 32X
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 63
#       Flags: data_imported=True from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
542ad12e	1994	
29106f50	1995	
204044c4	1995	
29dce257	1996	
936c3d27	1995	
d1a60a47	1995	
7a72c939	1995	
d0b0b842	1995	
9f3fdbc2	1995	
7c7be6a2	1994	
22d7c906	1996	
53734e3a	1994	
208332fd	1994	
b06178df	1994	
fb14a7c8	1995	
6ef99202	1995	
d3d0a2fe	1995	
41d63572	1995	
20ca53ef	1995	
8f7260fb	1994	
a2da35fd	1994	
5f0df42c	1994	
969c80d4	1994	
d630e343	1994	
9b2ad63f	1994	
bf9b8376	1995	
ef5553ff	1995	
211085ce	1995	
773c0a85	1994	
ae3364e9	1995	
a21c5761	1994	
6b7994aa	1995	
bc7018d0	1995	
447d44be	1995	
f9126f15	1995	
e78a4d28	1995	
ff795fdc	1995	
e4de7625	1995	
60c49e4d	1995	
6472bae4	1995	
5cac3587	1995	
86e7f989	1994	
dd9708b9	1995	
82e82660	1994	
f4e9b846	1994	
2f16b44a	1994	
fce4c8c7	1995	
66d2c48f	1995	
14e5c575	1995	
14eac7a6	1995	
25aea73c	1995	
b5de9626	1995	
cd54ac37	1994	
27f14b5f	1994	
908e8880	1994	
7896b62e	1994	
8eb7cd2c	1995	
61833503	1995	
6de1bc75	1995	
d61febc0	1994	
5c12eae8	0	
dd9c46b8	1994	
bfda1fe5	0	
