#    Dat Name: Nintendo - Game Boy
#     Version: 20160430-103806
# Description: Nintendo - Game Boy
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 1606
#       Flags: data_imported=True from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
b61cd120	0	
cafe0d2b	0	
82f06e93	0	
5e438db8	0	
c69a19f6	0	
f4310eb3	0	
95398da5	0	
62d9350e	0	
740e9bc8	0	
114e1f1e	0	
86f45343	0	
e0216e60	0	
18b4a020	0	
d229ac62	0	
5bffcc28	0	
28fa451e	0	
4c749c14	0	
c170a732	0	
7e054a88	0	
64f4fa44	0	
783066cf	0	
176d2eeb	0	
b9de1dc0	0	
74c700a4	0	
5d461374	0	
dfa3b28a	0	
f6fd275e	0	
c0049d77	0	
9b7945ea	0	
898609b4	0	
4825b25f	0	
e8335398	0	
283c58b7	0	
af6bdc50	0	
3cab28d9	1994	
1089098f	0	
3b9c3bc6	1994	
e59049b2	0	
effb960b	0	
583c0e4e	0	
e884682b	0	
4bbcf652	0	
d51ee6d3	0	
5cc01586	0	
24d5f785	0	
ce36e36e	0	
141675d3	0	
3011d5ca	0	
2a4eafe4	0	
3be275cd	0	
1b3231c8	0	
80cac37c	0	
a76043c8	0	
60128aa8	1990	
c2eec22f	0	
8d573f37	0	
7b23e05c	0	
673c815d	0	
4a486435	0	
87277600	0	
8259ac54	0	
b14c3b31	0	
d06b3f8a	0	
6a6ecfec	0	
1c829ce3	0	
6c292739	0	
1db65649	1990	
86e4fc50	1991	
430d3d6b	1992	
caae6b11	0	
b1fd41d0	0	
5143e227	0	
97ffe2c0	0	
c1f88833	0	
61e48eef	1990	
c4720897	1990	
23068679	0	
b5b38860	0	
cf2ba5f7	0	
da90f5fc	0	
373343e6	0	
c28ef062	0	
3f73fe7a	1993	
d1c3f371	0	
4e2fffe5	0	
8a546dec	0	
ab3477c4	0	
ecf1b801	0	
d4b655ec	0	
1b713de0	0	
3d13ec6a	0	
94c26cdf	0	
5546a382	0	
fd66b1a0	0	
6eea2526	0	
a503cb07	0	
d37a2fdf	0	
7625e5a5	0	
bab8b727	0	
de459a47	0	
5124bbec	0	
c8e578bf	0	
6c41d3cd	0	
c2fd6244	0	
ef3592cc	0	
ce34cca4	0	
2d0c1073	0	
5c69e449	1990	
d4d1aea2	1990	
ea4eb1a1	0	
a99242c0	0	
7c787bc4	0	
a828fd4f	0	
a1a1fe77	0	
e67a92b3	0	
35914deb	0	
ca450e93	0	
a37a814a	0	
fef62da5	0	
331cf7de	0	
b0c3361b	0	
7ffc34ea	0	
ce316c68	0	
7b217082	0	
a727f9cd	0	
af1ae123	0	
637e54e3	0	
33574ecb	0	
d5c3da1d	0	
b20280e6	0	
86d11d10	0	
5e8f656a	0	
71cf43ce	0	
a1e55dc2	0	
4c5b4547	0	
3f4d5c84	0	
41dbb5fb	0	
c2763e73	0	
ea759875	0	
2db3dace	0	
f7be0002	0	
e81c9fb9	0	
3b2c7118	0	
e9f9016f	0	
54b67501	0	
51ff6e53	0	
adb66eff	0	
f1c0fb1d	0	
7edb78ab	0	
70c8c799	0	
da218e44	0	
d3e2fd02	0	
9bd8815e	0	
ef9595ac	0	
b8fe9077	0	
509a6b73	0	
94337d56	0	
6157443b	0	
f658b7a7	0	
f372d175	0	
a7cdbb96	0	
f1344b78	0	
ec83c0b6	0	
105bc1c0	0	
9f0f3606	0	
644aec3e	0	
b5b3f85b	0	
ef7e9fa0	0	
c09cee99	0	
c08e9756	0	
b651bf5d	0	
fbb1f2a1	0	
8a7fb0e6	0	
e558aacd	0	
aff0b159	0	
cd187600	0	
5b8f0df2	0	
ad9b300c	0	
d516841d	0	
39e261b9	0	
4106d781	0	
874d0d6f	0	
843068fd	0	
a3164516	0	
600a6ad5	0	
8244220b	0	
d2dbea8f	0	
a973e604	0	
403e1b7e	0	
3c86f5db	0	
5a1a20f3	0	
88219a49	0	
88f8c991	0	
b94724e6	0	
e555c612	0	
b4245ca3	0	
a6c98122	0	
78bf3633	0	
aaa74000	0	
d9f901a9	0	
87a9d605	0	
8042afc5	0	
c762b783	0	
33a1e1cf	0	
a795e851	0	
d05f4c90	0	
8641ba55	0	
e4b30634	0	
e67a10e1	0	
2f752404	0	
f2d739e4	0	
2f8aaf6f	0	
6977c265	0	
216e6aa1	0	
8875c8fe	0	
ad9c17fb	0	
adb96150	1990	
44256a2f	0	
e957014f	0	
245afcdc	0	
9dfd4bc0	0	
aa920298	0	
74d50b47	0	
ef02beb6	0	
67a45d19	0	
2852e240	0	
82150e4a	0	
c1d2b680	0	
59ed370c	0	
886049f9	0	
eab175ff	0	
abff3314	0	
44e933c8	0	
e55138be	0	
7e40044a	0	
eb33f601	0	
7bfd1cff	0	
5109f484	0	
5e2e4e19	0	
9c7d5e79	0	
1b3b46ef	1994	
e6c3a473	0	
b3e8028d	0	
e5520693	0	
b4fa9cf2	0	
c5951d9e	1993	
aa133439	0	
34e62c8b	0	
a549a572	1996	
cde6de15	0	
f1c81eb0	0	
7fc22df5	0	
e045b886	0	
d430d1a0	0	
a2f01695	0	
1987eacc	1994	
aba1dac9	1994	
a193c0d0	0	
80b21df1	0	
2022bbb9	0	
2e767d25	0	
dc723a9e	0	
2699942c	0	
ca6e0be0	0	
24a12807	0	
37d4aa8c	0	
51300cfd	0	
943059ba	0	
c3eb82ef	0	
eebdd360	0	
9d00da55	0	
3ef2e823	0	
fadfd0f6	0	
b6b51fce	0	
13dd647d	0	
c47671f3	0	
df8b2b20	0	
26d2d5c2	0	
9e0d2b45	0	
70819e03	0	
c8f80d90	0	
ff858da9	0	
be975b4f	0	
176c1fa2	0	
a1d4c544	0	
238b9646	0	
25f82bb1	0	
8210a03f	0	
35d9be0e	0	
a8301bdd	0	
9e3e3656	0	
896a30a8	0	
7eb0cd32	0	
b700f7f7	0	
6a702c32	0	
659e2283	0	
aaaad0b6	0	
a308b86b	0	
af905c00	0	
6c742478	0	
5b289ab4	0	
3f0aafec	0	
5a3ab7a0	0	
43af45b1	0	
f58dc358	0	
edab3378	0	
f777a5d8	0	
9aeca05c	0	
49dc0d37	0	
2827e5d4	0	
872bbd5e	0	
a19acdb6	0	
b40c159c	0	
a42524a3	0	
843bd5bc	0	
dd4e588f	0	
b368e717	0	
652b3ca4	0	
5333d083	0	
356a5090	0	
45e3e8f2	0	
6b39f607	0	
5a16c88d	0	
a0645e8a	0	
40a8bf12	0	
fc970aef	0	
5b96e474	0	
ee28749d	0	
252c32b5	0	
a3d77a55	0	
34ac7268	0	
82511a8f	0	
f13a60b8	0	
3d04b8e7	0	
d409375b	0	
d62473d0	0	
10c98dd1	0	
2b2f4f8f	0	
f0225dd0	0	
a35b9ef5	0	
7582ae14	0	
ff3c027d	0	
38da46d7	0	
10dcbdc3	0	
308a2465	0	
1d1155af	0	
73c994a0	0	
a1488900	0	
7a38b5c3	0	
8d089356	0	
5129a518	0	
351a7277	0	
f924bdb1	0	
ac6483dc	0	
5b5410f5	0	
2bbbb54d	0	
169b00c1	0	
2b693cde	0	
b151509d	0	
11be4b45	0	
9677d157	0	
b1a7a008	0	
259ff267	0	
bead8ae4	0	
b749a927	0	
f54158a6	0	
2e5497ef	0	
19608641	0	
7e4febdf	0	
ab83bd70	0	
f9e08783	0	
45dee8c0	0	
d80bdbba	0	
fac1f53b	0	
aabe61bb	0	
e5989908	0	
8dc0d46c	0	
cdf6a5ac	0	
af4a5de1	0	
dcab906c	0	
7d890cd0	0	
d6ef1450	0	
325e7290	0	
3d3c059e	0	
241a6e4c	0	
bdc4ccc3	0	
59285f0a	0	
f53f7f00	0	
a7bdfec8	0	
ed6771db	0	
ffd4a9e3	0	
b3fd3e36	0	
52678ae8	0	
18c78b3a	0	
58314182	0	
3e454710	0	
8046148f	0	
e94a6942	0	
c46bbd49	0	
4b929719	0	
9a84b6cf	0	
3b6cdda4	0	
6deb1f06	0	
71bf3256	0	
503d3613	0	
508282d0	0	
198f147d	0	
a2f30b4b	0	
6e659690	0	
860ea816	0	
77083ae0	0	
e3b59b7e	0	
9a494ae6	0	
caf5b372	0	
bef84a10	0	
4d933c08	0	
ae478a6f	0	
cb35900a	0	
bfd87aa4	0	
3d0bac10	0	
2962afb4	0	
d9b24d21	0	
690227f6	0	
6f7ad5d9	0	
b08bb116	0	
a2e210e9	0	
92a03fc3	0	
150bc291	0	
532036d5	0	
96ecc1e0	0	
9e6cdc96	0	
99b2fe79	0	
4640909f	0	
a1a3f786	0	
f5657fce	0	
9ab28af0	0	
572ea59c	0	
a93e125b	0	
263fd152	0	
6b09508f	0	
9359a183	0	
f5d364db	0	
94563424	0	
86d04bfb	0	
bc491c4b	0	
efc0f266	0	
9694d69d	0	
19889c43	0	
b0074acb	0	
d6909596	0	
62769ec1	0	
910afe24	0	
33261c11	0	
4443e600	0	
51b8626d	0	
30e61f00	0	
1907dac5	0	
b2b72056	0	
28e507b0	0	
48c1ee22	0	
a64a8710	0	
b2eedd36	0	
95e8fcb1	0	
6226d280	0	
7f62456b	0	
8f2bf517	0	
69b161bc	0	
5821ecd4	0	
87d0637b	0	
e8b26577	0	
61d80946	0	
845735de	0	
30ae39b6	0	
65dfabcb	0	
533fa979	0	
d4caf200	0	
a1b29ab8	0	
847e0772	0	
fe4f80b7	0	
ed204600	0	
6ed10383	0	
a6dadb1e	0	
26772e04	0	
5d43a385	0	
62b00f69	0	
71acbb67	0	
3c907f2c	0	
479e2c18	0	
9c0d14c3	0	
ca20c594	0	
46af90da	0	
f8406560	0	
44f5a443	0	
10bd83ba	0	
631a752e	0	
c8e01c7c	0	
41c17421	0	
e4271f4b	0	
d3168eca	0	
84e30e6c	0	
7e262a4d	0	
70468755	0	
cf133379	0	
8bd567d1	0	
7e6e16d5	0	
c34ae38f	0	
62aa54a4	0	
dadb8290	0	
de74fd69	0	
87f0cfad	0	
8ba62b3d	0	
f141b2dc	0	
74821248	0	
a09c1790	0	
d185b939	0	
dc010f04	0	
99062c13	0	
d792f747	0	
12e738ea	0	
3fac5c42	0	
90f87d57	0	
e97f2e9a	0	
c4cbf6b1	0	
3579e297	0	
5e4a61d3	0	
b02faa0b	0	
9f09afe8	0	
1eae0e10	0	
7635f28b	0	
60727bf9	0	
78830daf	0	
1526a96b	0	
1495bbe5	0	
8bf29c90	0	
ac044e9a	0	
4f8a61bf	0	
a9001e00	0	
740552ed	0	
9234eeab	0	
