#    Dat Name: Sega - Game Gear
#     Version: 20150407-151407
# Description: Sega - Game Gear
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 497
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
f85a8ce8	0	
1d17d2a0	0	
1d01f999	0	
bb4f23ff	0	
4fe6dde0	0	
3e549b7a	0	
770e95e1	0	
7a41c1dc	0	
6f6eebb0	0	
11a68c08	0	
ffe4ed47	0	
bb5e10e0	0	
46c9fa3e	0	
3deca813	0	
f0204191	0	
7cb3facf	0	
97e3a18c	0	
35fa3f68	0	
328c5cc8	0	
78208b40	0	
c01a8051	0	
663bcf8a	0	
3435ab54	0	
dfcf555f	0	
661faeff	0	
1d1b1dd3	0	
6afb8ec6	0	
10ac9374	0	
8d8bfdc4	0	
7174b802	0	
3a0ce9e0	0	
b6184090	0	
3d8bcf1d	0	
ffa447a9	0	
618b19e2	0	
7ac4a3ca	0	
16448209	0	
fddd8cd9	0	
cb3cd075	0	
817cc0ca	0	
a6bf865e	0	
3858f14f	0	
a4bb9ffb	0	
325b1797	0	
fe7374d2	0	
bfceba5f	0	
69ebe5fa	0	
d966ec47	0	
fba338c5	0	
5c34d9cd	0	
c90f29ef	0	
7cb079d0	0	
a72a1753	0	
72981057	0	
c53b60b8	0	
5675dfdd	0	
f6a697f8	0	
2b732056	0	
59840fd6	0	
dfc7adc8	0	
e21d2a88	0	
4e78fd36	0	
da811ba6	0	
6b0fcec3	0	
c2e8a692	0	
191b1ed8	0	
cb3a1d23	0	
656708bf	0	
3fcc28c9	0	
bf75b153	0	
d228a467	0	
c7598b81	0	
f3ca6676	0	
ac37e092	0	
83fa26d9	0	
ba0714db	0	
2c758fc8	0	
6caa625b	0	
3d28eab0	0	
46ad6257	0	
529c864e	0	
6a24e47e	0	
6352ef00	0	
aae268fc	0	
5a136d7e	0	
e2791cc1	0	
c674eccc	0	
ec808026	0	
c2e111ac	0	
3e44eca3	0	
f6c400da	0	
d43ac6c5	0	
25db174f	0	
c01293b0	0	
4457e7c0	0	
2d98bd87	0	
87b8b612	0	
733292a6	0	
1307a290	0	
331904c0	0	
c9907dce	0	
3c2d4f48	0	
19e1cf2b	0	
17f588e8	0	
ef2ed930	0	
89f12e1e	0	
152f0dcc	0	
77ed48f5	0	
f6af4b6b	0	
610ff95c	0	
691ae339	0	
5d3f23a9	0	
e2f3b203	0	
a32eb9d5	0	
866c7113	0	
ba9cef4f	0	
5e53c7f7	0	
4302bbd0	0	
36aaf536	0	
aa140c9c	0	
8bdb0806	0	
d0a93e00	0	
107092d0	0	
78159325	0	
e632a3a2	0	
c379de95	0	
aaf6f87d	0	
59e3be92	0	
c888222b	0	
d69097e8	0	
fad007df	0	
fbd76387	0	
449787e2	0	
d46d5685	0	
c443c35c	0	
e123d9b8	0	
b1196cd7	0	
46f40b9f	0	
2bbf9940	0	
751dad4c	0	
2333f615	0	
33237f50	0	
18de59ed	0	
1b80a75b	0	
9de15280	0	
9a8b2c16	0	
695cc120	0	
51159f8f	0	
83926bd1	0	
7a26ec6a	0	
876e9b72	0	
593ba240	0	
95ecece2	0	
95347420	0	
423803a7	0	
a1f2f4a1	0	
cd53f3af	0	
9afb6f33	0	
e3002230	0	
a0530664	0	
e9a2efb4	0	
58b44585	0	
4cf97801	0	
f27925b0	0	
a93e8b0f	0	
c3c52767	0	
def5a5d0	0	
7e9dea46	0	
7e689995	0	
beed9150	0	
dde29f74	0	
dfa805a0	0	
a5aa5ba1	0	
f53ced2e	0	
a25eec50	0	
42389270	0	
56cae740	0	
9f64c2bb	0	
dab0f265	0	
87fc2470	0	
d7055f88	0	
b875226b	0	
8927b69b	0	
44e7e2da	0	
a12a28a0	0	
abddf0eb	0	
881a4524	0	
68bb7f71	0	
c2f7928b	0	
9fb5c155	0	
76c5bdfb	0	
d7820c21	0	
2dd850b7	0	
4a98678b	0	
2e01ba6c	0	
1ebfa5ca	0	
4d23fc40	0	
a8ef36a7	0	
32abaa02	0	
90100884	0	
30c09f31	0	
d51642b0	0	
2f536ae3	0	
bd6f2321	0	
937fd52b	0	
23f9150a	0	
d9ce3f4c	0	
fd14ce00	0	
4af7f2aa	0	
7d622bdd	0	
9b40fc8e	0	
d01e784f	0	
398f2358	0	
f3774c65	0	
52dbf3e1	0	
2d367c43	0	
ce5ad8b7	0	
fde7baa0	0	
51548f61	0	
fbc807e1	0	
cd9c20b0	0	
c78b8637	0	
9808d7b3	0	
8d1597f5	0	
7a7815a0	0	
58459edd	0	
1ecf07b4	0	
9f59d302	0	
75c71ebf	0	
7ec95282	0	
c34d9400	0	
12eb2287	0	
a634d790	0	
568f4825	0	
8f82a6b9	0	
1c2c2b04	0	
cf6d7bc5	0	
6e1cc23c	0	
36ebcd6d	0	
1d2dd2a0	0	
9559e339	0	
22c418bf	0	
7d0eb420	0	
1ace93af	0	
2e4ec17b	0	
4ec30806	0	
d2b6021e	0	
fe12a92f	0	
9942b69b	0	
117c3df0	0	
eccf7a4f	0	
f7c524f6	0	
dbe8895c	0	
9289dfcc	0	
b47c19e5	0	
4d5d15fb	0	
453c5cec	0	
ea89e0e7	0	
7494f2a0	0	
dbff0461	0	
c2be62bb	0	
4b304e0f	0	
5ee88bd5	0	
19030108	0	
a49e9033	0	
