#    Dat Name: Atari - Lynx
#     Version: 20130303-222635
# Description: Atari - Lynx
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 86
#       Flags: data_imported=True from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
f6fb48fb	1991	
540e9bb7	0	
483cd2a0	1991	
3943c116	1992	
4161bb4a	1992	
277f82c2	1992	
779faece	1993	
30fee726	1995	
143a313e	1991	
3cd75df3	1991	
bfe36525	0	
daf587b1	1989	
333daece	1994	
a08f0b59	1989	
97501709	0	
19c5a7a5	1991	
6a5f53ed	1989	
aec474c8	1992	
99729395	0	
b9ac1fe5	1993	
50386cfa	1992	
d565fbb7	1992	
fbfc0f05	1993	
33bb74c7	1992	
bd97116b	1989	
f83397f9	1993	
6bceaa9c	0	
9034ee27	1991	
7e4b5945	1991	
494cc568	1989	
7f0ec7ad	1990	
d20a85fc	1993	
6df63834	1991	
e8b45707	1992	
e3041c6c	1992	
5cf8bbf0	1991	
2455b6cf	1993	
5dba792a	1992	
a53649f1	1990	
bed5ba2b	1993	
cd1bd405	1992	
39b9b8cc	1993	
271b6e90	1999	
b1c25ef1	0	
1091a268	1992	
28ada019	0	
aba6da3d	1993	
c3fa0d4d	0	
7de3783a	1990	
6fd39800	1992	
22d47d51	1991	
f3e3f811	1993	
aa50dd22	1991	
4cdfbd57	1990	
14d38ca7	1992	
2393135f	1992	
99c42034	1992	
b9881423	1991	
bcd10c3a	1997	
b10b7c8e	1990	
139f301d	1992	
69959a3b	0	
6867e80c	1990	
d1dff2b2	1990	
7a6049b5	1991	
67e5bdba	1990	
8595c40b	1991	
be166f3b	1991	
eb78baa3	1992	
192bcd04	1990	
5b2308ed	1992	
2da7e2a8	1995	
690caeb0	1993	
dfa61571	1991	
13657705	1992	
ae267e29	1990	
156a4a4c	1992	
590a9e30	1991	
a4b924d6	1991	
8d56828b	1991	
b946ba49	1991	
91233794	1992	
9bed736d	1990	
89e2a595	1991	
cb27199d	1990	
d973c9d0	0	
