#    Dat Name: Sega - Mega Drive - Genesis
#     Version: 20160524-120709
# Description: Sega - Mega Drive - Genesis
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 1706
#       Flags: data_imported=True from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
aeb4b262	1993	
c19ae368	1997	
36407c82	1992	
537f04b6	1991	
2bbee127	1994	
e5a24999	1994	
1a6f45dc	1995	
f2c58bf7	1991	
3d45de4f	1992	
1a3da8c5	1995	
8c822884	1994	
707017e5	1993	
65f60210	1993	
7ad115ff	1995	
fdc80bfc	1995	
f4b44b82	1995	
8809d666	1992	
29ff58ae	1992	
95ff7c3e	1991	
b906b992	1995	
2803a5ca	1993	
3a173e1f	1993	
71f58614	1993	
42cf9b5b	1992	
e0d5e18a	1991	
355e8c39	1995	
caaa4ac0	1995	
24f1a3bb	1994	
55f13a00	1994	
ef02d57b	1993	
d4403913	0	
a00da987	1991	
1a3eaf57	1993	
a3a7a8b5	1993	
a451f9a1	1995	
39eb74eb	1994	
cfaa9bce	1992	
9377f1b5	1994	
4ff37e66	1990	
ccafe00e	1990	
f3d65baa	1991	
9e2d5b91	1990	
2041885e	1990	
b3db0c71	1992	
4582817b	1994	
d1845e8f	1993	
fb5aacf0	1993	
ed427ea9	1993	
8c60ef73	0	
5b0678fb	1990	
8a5ed856	1989	
c3a52529	1990	
778a0f00	0	
47dba0ac	1989	
a3b00d6e	1992	
b327fd1b	1992	
496e06c0	1995	
90fa1539	1995	
f5ac8de5	1991	
28165bd1	1992	
4d476722	1992	
d28d5c40	1992	
154d59bb	1989	
9952fa85	1993	
224256c7	1993	
e755dd51	1992	
3bbf700d	0	
92b6f255	1994	
86224d86	1994	
e9742041	1993	
10be1d93	1993	
2c6cbd77	1995	
400f4ba7	1992	
8aed2090	1996	
e389d7e7	1992	
41c5fb4f	1991	
bc4d9b20	1994	
58e297df	1992	
35b995ef	1989	
d49f8444	1990	
4d89e66b	1991	
f1b72cdd	1991	
9970c422	1994	
c9a57e07	1994	
4735fee6	1993	
7f112cd8	1994	
45c8b5b7	1994	
4ff1d83f	1995	
e833067e	1990	
7cd8169e	1990	
b3c05418	1992	
677c2100	1992	
ac5bc26a	1995	
158dc530	1993	
8c64445e	1993	
1f07577f	1993	
69c27c10	1991	
60af0f76	1992	
eac8ded6	1992	
e3e8421e	1992	
eaa2acb7	1993	
b2e7cc49	0	
459b891c	0	
2737f92e	1992	
66a388c3	1991	
975693ce	1992	
b1e268da	1991	
f5c3c54f	1993	
b362b705	1994	
81c9662b	1993	
d4823175	0	
10e0ba69	0	
bff227c6	1991	
4052e845	1991	
cf2acbe0	1992	
42e3efdc	1992	
5d09236f	1994	
321bb6bd	1995	
de27357b	0	
63fbf497	1994	
1efa9d53	1993	
d37a37c6	1996	
cf1ff00a	0	
9eddeb3d	0	
61c60c35	1992	
d7b4febf	1990	
caa044a1	1992	
17410ae0	1991	
8b723d01	1995	
4a3225c0	1992	
4aa03e4e	1991	
a76c4a29	1992	
312fa0f2	1993	
feaa8bf0	1990	
409e5d14	1994	
fd2b35e3	1991	
d10e103a	1993	
8239dd17	1993	
4646c694	1991	
ca5bb640	1992	
6a176576	0	
befb6fae	1993	
13e7b519	1993	
c7b6435e	1995	
f5d7b948	1994	
81ed5335	0	
f3af46cd	2006	
1f86237b	1994	
f842240b	1993	
c3d6a5d4	1993	
c4728225	1995	
c61ed2ed	0	
64446b77	1995	
3ed83362	1993	
a582f45a	1994	
e1f263f0	0	
d4dc5188	1990	
dd10dd1a	0	
95b0ea2b	1992	
5e246938	1994	
74c65a49	1993	
c11e4ba1	1993	
8f78c700	0	
4385e366	1995	
5e2966f1	1991	
f9f2bceb	1995	
7222ebb3	1991	
649607d1	0	
3575a030	1994	
b4ffb6ce	0	
65d20190	1993	
adf6476c	1991	
c6aac589	0	
20d1ad4c	0	
d1e66017	1994	
dbc4340c	1994	
1a7a2bec	1994	
ccf52828	1993	
f225ac00	1993	
9ba5a063	1993	
77084a60	1993	
f7775a09	1994	
408cf5c3	1995	
90f5c2b7	1995	
fe52f7e1	1996	
fa3024af	1996	
7e9a8d32	1994	
98d502cd	1994	
b467432e	1994	
d45cb46f	1994	
a8731cb4	0	
86151bf1	1994	
28c4a006	1994	
f8beff56	1994	
3e30d365	1993	
44e3bfff	1991	
