#    Dat Name: Sega - Master System - Mark III
#     Version: 20160331-213351
# Description: Sega - Master System - Mark III
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 544
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
f0f35c22	0	
a67f2a5c	0	
060d6a7c	0	
887d9f6b	0	
d91b340d	0	
3658f3e0	0	
72420f38	0	
ecf491cf	0	
15576613	0	
1c951f8e	0	
4f1be9fa	0	
8b43d21d	0	
c8718d40	0	
d8c4165b	0	
013c0a94	0	
c13896d5	0	
f9dbb533	0	
17a40e29	0	
aed9aac4	0	
d2417ed7	0	
08c9ec91	0	
82038ad4	0	
08bf3de3	0	
b618b144	0	
7f30f793	0	
4cc11df9	0	
5cbfe997	0	
c148868c	0	
bba2fe98	0	
7b27202f	0	
3727d8b2	0	
e8b82066	0	
f499034d	0	
fff63b0b	0	
e4163163	0	
bae75805	0	
f4b3a7bd	0	
ae705699	0	
0bd8da96	0	
861b6e79	0	
147e02fa	0	
8c9d5be8	0	
f9b7d26b	0	
def9b14e	0	
c795182d	0	
69efd483	0	
299cbb74	0	
e890331d	0	
ff614eb3	0	
e5ff50d8	0	
2d48c1d3	0	
35d84dc2	0	
655fb1f4	0	
0df8597f	0	
b154ec38	0	
c19430ce	0	
1cbb7bf1	0	
da3a2f57	0	
8ecd201c	0	
58d5fc48	0	
643b6b76	0	
25eb9f80	0	
3084cf11	0	
caea8002	0	
b3768a7a	0	
1b10a951	0	
e843ba7e	0	
b0fc4577	0	
0918fba0	0	
ac6009a7	0	
45c50294	0	
c0e25d62	0	
a4852757	0	
b81f6fa5	0	
3cff6e80	0	
31ffd7c3	0	
953f42e1	0	
b9db4282	0	
bd610939	0	
23163a12	0	
7e5839a0	0	
492c7c6e	0	
46340c41	0	
16ec3575	0	
fd981232	0	
4a21c15f	0	
e421e466	0	
86f49ae9	0	
dd0e2927	0	
87783c04	0	
c30e690a	0	
8fb75994	0	
e7f62e6d	0	
7253c3ec	0	
665fda92	0	
3fb40043	0	
7778e256	0	
9d549e08	0	
84ad5ae4	0	
13ac9023	0	
29822980	0	
1350e4f8	0	
dac00a3a	0	
908e7524	0	
77efe84a	0	
71abef27	0	
89b79e77	0	
ae4a28d7	0	
e2f7193e	0	
42fc3a6e	0	
b137007a	0	
6c1433f9	0	
f6fab48d	0	
ea5c3a6f	0	
32f4b791	0	
2bcdb8fa	0	
56bd2455	0	
a55d89f3	0	
8370f6cd	0	
f76d5cee	0	
52b83072	0	
16537865	0	
6c696221	0	
c88a5064	0	
9549fce4	0	
07306947	0	
0e1cc1e0	0	
7db5b0fa	0	
c4bb1676	0	
c10fce39	0	
dd74bcf1	0	
f06f2ccb	0	
c4d5efc5	0	
7c28703a	0	
6687fab9	0	
5d5c50b3	0	
00e73541	0	
8813514b	0	
06965ed9	0	
eaebf323	0	
7ce06fce	0	
c4c53226	0	
184c23b7	0	
ec788661	0	
