#    Dat Name: Nintendo - Nintendo 64
#     Version: 20160506-012510
# Description: Nintendo - Nintendo 64
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 940
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
7425ae2d	0	
c26fed78	0	
8b70cb5b	0	
7f030d3a	0	
34f0ee5b	0	
b0256101	0	
d1744951	0	
366ed851	0	
2b43006c	0	
a6dbf8ae	0	
3cd5e271	0	
34bbb95d	0	
c6400938	0	
43022243	0	
c992dfb4	0	
9fbabfda	0	
e493e46c	0	
b08ef0b9	0	
d8ca6c8e	0	
4ba2a495	0	
1a5f6c19	0	
4038cb80	0	
9dc07fc0	0	
8da62304	0	
276178df	0	
92659837	0	
79f2df14	0	
ca79d5a0	0	
420ce37b	0	
e718347d	0	
7326e6c9	0	
15f18cae	0	
15063eac	0	
3e8be0e0	0	
cecd29a6	0	
82b7e47d	0	
33332c57	0	
43a6829d	0	
950985f6	0	
2355e4f3	0	
b2b54cc1	0	
97bf6db2	0	
3e9d1c51	0	
fb982b44	0	
210f594e	0	
17932c62	0	
b9faa3e4	0	
850675cc	0	
2a8ce2e1	0	
5fd42464	0	
11ad432c	0	
8a3d8792	0	
4af7c16b	0	
4fd43199	0	
90b38651	0	
38ec4a6e	0	
5ee620fb	0	
e0dc5a50	0	
e388fae0	0	
8b7bd07e	0	
d64e0a7b	0	
86aa921c	0	
66123c8b	0	
ec02c5ad	0	
5819d423	0	
18ccccfd	0	
e6f43f48	0	
4246acd8	0	
e3517fd8	0	
ff44020c	0	
3ec67ad8	0	
52283865	0	
31a3b913	0	
2ff810cf	0	
22ca221d	0	
23d415f8	0	
4605759e	0	
56507793	0	
109907b5	0	
2761bdae	0	
7b878c56	0	
837b3490	0	
bcfc0724	0	
36a97d01	0	
7c532342	0	
f3a50116	0	
d3657c19	0	
50a98bdf	0	
302b3135	0	
28dad01b	0	
3e73af1a	0	
f016e170	0	
3ac1bbae	0	
8433e0d0	0	
24d1a591	0	
da2acd5e	0	
d1017560	0	
2420c6fd	0	
de6ce3ef	0	
4244aac0	0	
7c2f610d	0	
2a95290f	0	
14f2cbe9	0	
47511877	0	
9f3f484b	0	
8ef396fb	0	
387b0c4c	0	
d8d87dca	0	
17b07602	0	
e78debb6	0	
d1d4d306	0	
84e815f3	0	
bf911b10	0	
7f50e637	0	
a12bf3de	0	
1f147376	0	
2573171a	0	
2af50883	0	
a2dcf689	0	
4246ee14	0	
c0345565	0	
35958f55	0	
f42bb75f	0	
356736c7	0	
831c5a55	0	
928a2968	0	
30ca7dbe	0	
2c22147d	0	
c5722b49	0	
42ae9174	0	
c73e336c	0	
c0fc82c0	0	
ab53586b	0	
7a59354b	0	
f59fd73e	0	
dcccb22f	0	
e7c70f25	0	
23139027	0	
ce383b3e	0	
b312e838	0	
8d23ba95	0	
96dba949	0	
6acdb3fc	0	
af9c5972	0	
20e7dbd7	0	
6767eca4	0	
ee925406	0	
615ac9bc	0	
e466c124	0	
2a8b3094	0	
41877d7d	0	
30c84f36	0	
7bef9ecc	0	
bcf1071f	0	
f0f89bb9	0	
6cb4b600	0	
e085afa0	0	
375d8ffe	0	
2afab93c	0	
b4afbf51	0	
eb304709	0	
8f63474f	0	
922506ad	0	
418fa479	0	
212a8000	0	
ef680f71	0	
8ce25c68	0	
883df1ea	0	
f05d414f	0	
95931356	0	
9d2935a1	0	
96c32bb6	0	
6d48b64e	0	
5f67a191	0	
fc37b06a	0	
fbd001b9	0	
96972d67	0	
54bb87f6	0	
227db4b0	0	
95526f13	0	
4dfb7cb6	0	
f080d060	0	
cad0a2c2	0	
2de1a873	0	
b3ad9130	0	
b9fcd0a6	0	
f7c44b5b	0	
c16b220f	0	
40643470	0	
a3565ffc	0	
8968d989	0	
b67bbc15	0	
829b87a0	0	
c2b3df4d	0	
8fbf7447	0	
912f576f	0	
9817b026	0	
1ff97bad	0	
cbe8c78a	0	
1bf948c3	0	
2fac2c41	0	
4ba40079	0	
20c3adab	0	
1017be14	0	
ce55bb19	0	
710011fb	0	
b7ad0f05	0	
3541c4bb	0	
8feede6f	0	
9dfeb099	0	
ef78ed7e	0	
13157df7	0	
820a12db	0	
1be8e42b	0	
856227bb	0	
a43a0b17	0	
32fc980c	0	
62202d15	0	
849c18ce	0	
8c08a7a8	0	
338777bf	0	
2e9695d0	0	
7d8ddefb	0	
386e127d	0	
4d203242	0	
484c801d	0	
3d95df80	0	
927387b6	0	
9408c2c1	0	
ec8b6db6	0	
873bc45a	0	
7ad98002	0	
605e5ac0	0	
2d49f99a	0	
9504b3df	0	
6ae6b8ed	0	
ce258860	0	
d69dd3d1	0	
26f52456	0	
3b22f9f2	0	
51e0b88a	0	
7fc19103	0	
83f9299e	0	
80d968b1	0	
a89ca020	0	
a625973f	0	
a9740235	0	
8d0cb2ff	0	
ade7dca4	0	
fff97300	0	
87e4e352	0	
6c65ef7a	0	
c3fa1b8e	0	
f970e4a4	0	
fede3ef8	0	
dc59ece7	0	
af0a22ef	0	
b0d256b8	0	
e05ea3a0	0	
b06d0d85	0	
b6dc4cfd	0	
35b99bd9	0	
e0b8edae	0	
ef9edf87	0	
7cc07bbc	0	
163c3c51	0	
69964858	0	
1c7e5d6e	0	
d9f765ad	0	
1f3a1912	0	
7e90c0a8	0	
bbd2ae37	0	
1110cc22	0	
d169e9f8	0	
3571f3bd	0	
3e20eafd	0	
3f90e7c2	0	
93dae2a0	0	
d024893a	0	
5f0ad6da	0	
40f45974	0	
57b71a9c	0	
f6bacbac	0	
e3c7a184	0	
9670a4b7	0	
fb1294c3	0	
689191c6	0	
ad4720e2	0	
d2ee315f	0	
3acb817e	0	
65517307	0	
cf90bc4a	0	
ed939f94	0	
4b3dc7fe	0	
176c6242	0	
3d157140	0	
d2b22343	0	
149e9f60	0	
4a07511c	0	
2f886030	0	
cefc98aa	0	
40796997	0	
fcacbe90	0	
e2fab230	0	
32d2d11e	0	
3dec34a5	0	
ef63c780	0	
525e8f8f	0	
a3fc9aea	0	
8696b2a2	0	
42e44701	0	
7ce3ea39	0	
b75696ae	0	
c8cd9b5d	0	
6b78c2c8	0	
f7c2bb67	0	
32003c85	0	
76530405	0	
5953567e	0	
e133064b	0	
930e6f44	0	
88279f19	0	
de726d5a	0	
a8f86eb6	0	
1c622354	0	
463fe8b7	0	
d685f2ec	0	
61799242	0	
7d7dcd46	0	
bb1824b8	0	
662da098	0	
91cb6803	0	
73073ec2	0	
f93868a3	0	
5e9c3e4b	0	
67ec5f38	0	
b2d77747	0	
8a48de94	0	
b6c70ea0	0	
71fa1d4d	0	
27e9853c	0	
82b2ab69	0	
efe0b465	0	
67bf293b	0	
fec297ef	0	
b5932174	0	
6e75735b	0	
97669431	0	
142072bf	0	
8e2f8322	0	
b4131606	0	
97e1bce2	0	
45e04c78	0	
4e6faa43	0	
8d2540f1	0	
435126ae	0	
94fa55ff	0	
a25d1427	0	
5b39c8b2	0	
a54e4397	0	
5b6351f1	0	
e8d4a365	0	
4e102917	0	
68d57df2	0	
970a3c24	0	
7576897d	0	
55551947	0	
8755de1f	0	
c3230021	0	
888b4265	0	
48f3e888	0	
befb1434	0	
cb126ea9	0	
1e967ac0	0	
42d1ed42	0	
19421ca7	0	
b279e4b2	0	
24ac459c	0	
8e1db3c2	0	
bc5f8666	0	
9fc8a30c	0	
f1eb0f93	0	
8eb3565b	0	
35b61293	0	
2ff68ed9	0	
cf204405	0	
3c38ba4a	0	
a26533fc	0	
5adef1c7	0	
ff8c4390	0	
3d4679e5	0	
3339e557	0	
c3daf1aa	0	
9267f4ba	0	
ea2e7abb	0	
1d4d50b7	0	
3ee3f2d1	0	
f97c02ce	0	
9852a62f	0	
ab0ffbae	0	
ec95702d	0	
aa07c8ba	0	
3c7dbf5b	0	
2ee3e247	0	
33543946	0	
78707cea	0	
8a1ae6a7	0	
5af38589	0	
ed1249a5	0	
94a1a16a	0	
9c7d29ec	0	
4ca898e3	0	
2f30b7fe	0	
4bdf2d6c	0	
e49d603a	0	
c39f863d	0	
43b28179	0	
f41b2332	0	
3b49ec33	0	
c711dfe0	0	
5dcad836	0	
ac21a5bf	0	
bf53bf3d	0	
16995cf8	0	
167c60e6	0	
6d3eba8b	0	
fb9138c0	0	
fd9ea0d5	0	
db0b662a	0	
10cc55ba	0	
7542d45d	0	
1ca3e8b6	0	
ceb5b977	0	
889091fd	0	
b2672604	0	
6787e212	0	
32625b00	0	
4711a9dc	0	
26450aab	0	
2bcee11c	0	
6973373f	0	
7d387e37	0	
4717cd1b	0	
8c0c8bec	0	
e19bf21c	0	
3ba5471b	0	
a5d78a36	0	
703586d1	0	
a1bee3f8	0	
1fb7e59a	0	
f03ca6e0	0	
995c9f24	0	
17c5515b	0	
49e24ae2	0	
b57dd0e4	0	
421d2a09	0	
3aa4bff5	0	
faffef70	0	
915a43ee	0	
ddf28f6b	0	
6e589c47	0	
14030ff5	0	
27906930	0	
202a2718	0	
9042cb8e	0	
165d7bc2	0	
dff1ba7e	0	
cf4c80b0	0	
12529953	0	
af7b3820	0	
c454e245	0	
c41a1ebe	0	
67895343	0	
20067768	0	
ac5c1408	0	
e33b52f0	0	
2dbd815d	0	
