#    Dat Name: Nintendo - Nintendo Entertainment System
#     Version: 20160503-064524
# Description: Nintendo - Nintendo Entertainment System
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 2697
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
ba58ed29	0	
836c4fa7	0	
44d21f83	0	
3d564757	0	
73e41ac7	0	
171251e3	0	
3ff10e3d	0	
12c6d5c7	0	
4e42f13a	0	
ac97aa09	0	
29ec0fd1	0	
18a885b0	0	
e66ad6b8	0	
74bea652	0	
86dba660	0	
71caf097	0	
e6a477b2	0	
d91104f1	0	
84be00e9	0	
49f745e0	0	
f8d53171	0	
326ab3b6	0	
6377cb75	0	
e3e2c3bf	0	
e326e0f5	0	
3d3ff543	0	
d201edce	0	
77da06cf	0	
14f477c3	0	
c829007e	0	
9a23a458	0	
477a478d	0	
da430fb3	0	
b7773a07	0	
14cd576e	0	
b134d713	0	
cc7a4dca	0	
7c27ab86	0	
51c0b27e	0	
c2224950	0	
3ac0830a	0	
bf700470	0	
65518eae	0	
9632c470	0	
c8f203f9	0	
63e56530	0	
f471827d	0	
2c5908a7	0	
e616ff0a	0	
1e472e7a	0	
b17574f3	0	
c22f3e9f	0	
2c33161d	0	
5de61639	0	
ca730971	0	
25952141	0	
bfbfd25d	0	
86867830	0	
771c8855	0	
7e4ba78f	0	
6b761858	0	
5dbd6099	0	
3cf749de	0	
4fbbe319	0	
bc9bffcb	0	
67751094	0	
9bde3267	0	
3b0f4db2	0	
55773880	0	
df4edc13	0	
297198b9	0	
71bf075f	0	
853feea4	0	
eab93cfb	0	
1992d163	0	
37397194	0	
8dd92725	0	
a31142ff	0	
d8ee7669	0	
227cf577	0	
6e85d8dd	0	
f2ce3641	0	
f699ee7e	0	
283ad224	0	
37f59450	0	
a1f90826	0	
3e785dc3	0	
35c41cd4	0	
143eeb40	0	
240863b9	0	
4d345422	0	
fb8a9b80	0	
489ef6a2	0	
9d976153	0	
8a7d0abe	0	
1248326d	0	
2c4421b2	0	
e349af38	0	
a0f99bb8	0	
c1fbf659	0	
5bc9d7a1	0	
41d32fd7	0	
cb04726d	0	
303d483d	0	
759418d2	0	
63e992ac	0	
ddc6d9c9	0	
c527c297	0	
5b837e8d	0	
cbf4366f	0	
934db14a	0	
976893d2	0	
dbf90772	0	
e2b43a68	0	
9273f18e	0	
3256114c	0	
3ffa5762	0	
1973aea8	0	
644e312b	0	
8b7d3c75	0	
99a9f57e	0	
6f4e4312	0	
fb69743a	0	
74ec4240	0	
ada40fb2	0	
db9c072d	0	
c740eb46	0	
f304f1b9	0	
1f74ea6c	0	
e1b260da	0	
656fa3b5	0	
d89e5a67	0	
32fb0583	0	
f1415250	0	
fc8debef	0	
1425d7f4	0	
78b657ac	0	
93e845f0	0	
15141401	0	
ed77b453	0	
e949ef8a	0	
2dc05a6f	0	
b68f9814	0	
54cb4eb0	0	
a46d7f02	0	
8bcde59a	0	
27ddf227	0	
e592f53a	0	
1771ea8f	0	
f808af60	0	
5062a34b	0	
7d55cf29	0	
a6153536	0	
7c6f615f	0	
d630ee8f	0	
47918d84	0	
74f0a89f	0	
7f9c1dec	0	
8af25130	0	
bbe40dc4	0	
a55fa397	0	
37ba3261	0	
161d717b	0	
8c252ac4	0	
40dafcba	0	
1ae7b933	0	
27c16011	0	
6cd9cc23	0	
dcd8d6f4	0	
adf606f6	0	
bc7b1d0f	0	
aebd6549	0	
484a60db	0	
e54138a9	0	
2b462010	0	
401349a8	0	
1f2d9db7	0	
1e407387	0	
86acb36b	0	
7c42cb7b	0	
cf4483af	0	
8a65e57c	0	
66ed9c00	0	
6cd46979	0	
15fe6d0f	0	
d364f816	0	
5b6ca654	0	
18b249e5	0	
48ca0ee1	0	
c4e1886f	0	
7ee02ca2	0	
9b821a83	0	
4ed5aa56	0	
fa434e09	0	
1f6660e6	0	
4318a2f8	0	
78a48b23	0	
afdcbd24	0	
bf7f54b4	0	
1f6ea423	0	
ae5c3d94	0	
40d159b6	0	
18a9f0d9	0	
b4241fcc	0	
daee19f2	0	
6abad366	0	
3eca3dda	0	
28f9b41f	0	
b9cf171f	0	
7c7a0a73	0	
4d7859a9	0	
ba327fd9	0	
3ec46af0	0	
29dd37f4	0	
d0f70e36	0	
13c6617e	0	
816ad178	0	
cb8f9ab7	0	
79d48f34	0	
c247a23d	0	
78cc796b	0	
f989296c	0	
83ea7b04	0	
2c2ddfb4	0	
b5ff71ab	0	
2b4d80ae	0	
61a852ea	0	
8e373118	0	
a97567a4	0	
6b53006a	0	
7e053e64	0	
fc5026ee	0	
50ccc8ed	0	
524a5a32	0	
9806cb84	0	
279710dc	0	
23d7d48f	0	
ceb65b06	0	
2bfb1186	0	
c4e81924	0	
6c93377c	0	
eb84c54c	0	
a1a33b85	0	
83eaf3b1	0	
974e8840	0	
3bbff3a6	0	
e19293a2	0	
c2ef3422	0	
b8747abf	0	
c3de7c69	0	
bd339e75	0	
a6a725b8	0	
40a5e676	0	
73c246d4	0	
7f24efc0	0	
73140eef	0	
680da78d	0	
cfd5ac62	0	
ccdcbfc6	0	
f62b0327	0	
bd154c3e	0	
34c1e893	0	
c42e648a	0	
4e99cea4	0	
c6224026	0	
c4b6ed3c	0	
847d672d	0	
e116447f	0	
f5f435b1	0	
d04a40e6	0	
190e52ff	0	
6dc28b5a	0	
ec40e71b	0	
fa7ee642	0	
d2574720	0	
a8a9b982	0	
99a62e47	0	
b04ba659	0	
1d0f4d6b	0	
c2a4612e	0	
c0ededd0	0	
8ab52a24	0	
8106e694	0	
3f0fd764	0	
b683a856	0	
cf992e34	0	
8e2d3000	0	
391aa1b8	0	
baacf521	0	
f927fa43	0	
f37befd5	0	
c92b814b	0	
e4776a2b	0	
9f2eef20	0	
5fd2aab1	0	
fe18e6b6	0	
bd9d0e85	0	
f2fc8212	0	
c4017900	0	
db9dcf89	0	
1ebb5b42	0	
4e44ff44	0	
4178497a	0	
bc06543c	0	
e5fcc4c1	0	
89567668	0	
a8f4d99e	0	
b0874760	0	
89a45446	0	
dfa111f1	0	
5f0bce2a	0	
a5e8d2cd	0	
ac92e9e0	0	
68afef5f	0	
c99b690a	0	
5e900522	0	
6cdc0cd9	0	
e095c3f2	0	
6720abac	0	
26e82008	0	
e19ee99c	0	
9fd35802	0	
85d02cd4	0	
126ebf66	0	
9bd3f3c2	0	
e50a9130	0	
ae97627c	0	
a0a095c4	0	
28492586	0	
e9176129	0	
ce228874	0	
ce67507a	0	
daf9d7e3	0	
8d77e5e6	0	
ccc03440	0	
bdf046ef	0	
719260c0	0	
db1d03e5	0	
a48d26c1	0	
b400172a	0	
2f66e302	0	
f2096d9c	0	
8d97155c	0	
4686c5dd	0	
cb5acb49	0	
1590cf62	0	
be250388	0	
5a62f17f	0	
58c7ddaf	0	
a5e89675	0	
3f56a392	0	
8d901fad	0	
b4049150	0	
99c395f9	0	
cb0a3af4	0	
1efe38eb	0	
f518dd58	0	
efd26e37	0	
f3f1269d	0	
31b44c65	0	
e44001d8	0	
5a688c80	0	
7329118d	0	
cf7ca9bd	0	
ae6c9e20	0	
7fa2cc55	0	
bf4f4ba6	0	
345d3a1a	0	
2f2d1fa9	0	
12906664	0	
a93527e2	0	
ac1aa8f0	0	
b668c7fc	0	
d6f7383e	0	
c471e42d	0	
671f23a8	0	
ed2465be	0	
45878d7f	0	
d1ea84c3	0	
622f059d	0	
7dd0afc8	0	
d188963d	0	
73418721	0	
9992f445	0	
eac38105	0	
adb5d0b3	0	
cdc641fc	0	
c076d66f	0	
e0cbc2ba	0	
9ab274ae	0	
680d2eda	0	
e3027ebe	0	
d7f6320c	0	
19f4ca6b	0	
6c70a17b	0	
53328fc4	0	
358e29dd	0	
c47946d0	0	
5dec84f8	0	
58e63e82	0	
20af7e1a	0	
231bc76e	0	
b79f2651	0	
d8d42f2f	0	
471173e7	0	
91440aab	0	
84f7fc31	0	
8bf29cb6	0	
f83e0d2d	0	
fc5783a7	0	
cc6ca4dc	0	
d923eb5b	0	
99686dad	0	
6ed31ccd	0	
7840b18d	0	
f32748a1	0	
883454ea	0	
38ef66b5	0	
c05a365b	0	
39b4a9c0	0	
c1d7ab1d	0	
78ced300	0	
952a9e77	0	
85e0090b	0	
f99e37eb	0	
77833016	0	
10c06e27	0	
5ab54795	0	
f64cb545	0	
37006f70	0	
8e0d9179	0	
d152fb02	0	
b87ab35a	0	
b834eb30	0	
681798a8	0	
20f98977	0	
ae8666b4	0	
82afa828	0	
a3c0d49f	0	
57c2ae4e	0	
48f68d40	0	
24ba90ca	0	
2d75c7a9	0	
df31b364	0	
898e4232	0	
c8ad4f32	0	
78c4460d	0	
e2313813	0	
123bffe0	0	
cb17d41e	0	
f283cf58	0	
30a225a8	0	
d3ec98aa	0	
82be4724	0	
c6000085	0	
a6648353	0	
32cf4307	0	
20a5219b	0	
b27b8cf4	0	
cb35fa90	0	
f6035030	0	
a94591b0	0	
d73aa04c	0	
86083fbc	0	
14255c57	0	
dc75732f	0	
70f31d2c	0	
9f2712df	0	
cd79b710	0	
e53f7a55	0	
26c1e1a0	0	
e9ad2163	0	
d18e6be3	0	
81af4af9	0	
7e9bca05	0	
c7f0c457	0	
db05106e	0	
c68363f6	0	
bb0f2d56	0	
4d68cfb1	0	
fcbf28b1	0	
e95454fc	0	
bee30c5f	0	
72e66392	0	
1335cb05	0	
340713dd	0	
f00584b6	0	
88338ed5	0	
ac8dcdea	0	
e429f0d3	0	
c48363b4	0	
956e3d90	0	
fe3488d1	0	
78211ebf	0	
93b2cec4	0	
5a5a0cd9	0	
721b5217	0	
9e382ebf	0	
bd018f0f	0	
27ca0679	0	
c1b43207	0	
ebd0644d	0	
3eff62e4	0	
cfe02ada	0	
398b8182	0	
66f6a39e	0	
443fc6cd	0	
5dce2eea	0	
8db43824	0	
67811da6	0	
1ed48c5c	0	
983d8175	0	
894efdbc	0	
19e81461	0	
be06853f	0	
be0a3280	0	
5b457641	0	
f51a7f46	0	
360aa8b4	0	
ab2ac325	0	
8ecbc577	0	
4d1ac58c	0	
e145b441	0	
fa73d3a2	0	
12748678	0	
2e1e7fd8	0	
c2730c30	0	
5caa3e61	0	
8eab381c	0	
bee54426	0	
3fc1dc19	0	
46b5751b	0	
73f7e5d8	0	
fe364be5	0	
a2af25d0	0	
68f9b5f5	0	
2fd2e632	0	
28fb71ae	0	
a725b2d3	0	
f053ac5f	0	
39d43261	0	
43d01c10	0	
4681691a	0	
23bf0507	0	
c4626380	0	
a72fde03	0	
8c4d59d6	0	
68ec97cb	0	
eb9960ee	0	
a558fb52	0	
322c9f6a	0	
d1691028	0	
c783f0c0	0	
5fab6bce	0	
145a9a6c	0	
d738c059	0	
607bd020	0	
28c2dfce	0	
85de7c90	0	
b174b680	0	
2be254e9	0	
dbb06a25	0	
1cee0c21	0	
96cfb4d8	0	
5393d949	0	
96773f32	0	
10c9a789	0	
eab002ae	0	
c2e78630	0	
db99d0cb	0	
bd50f230	0	
10c8f2fa	0	
7a497ae3	0	
a7b0536c	0	
e66bddcf	0	
d17b76da	0	
23e03dc1	0	
8b9cb8f2	0	
f863d5bb	0	
6f97c721	0	
b3d74c0d	0	
ab2006b4	0	
e211b93a	0	
4864c304	0	
50a1b3fe	0	
504b0070	0	
63aea200	0	
12e6cb79	0	
bde3ae9b	0	
336093ef	0	
d7215873	0	
d898a900	0	
2b378d11	0	
a1a0c13f	0	
f1cc0480	0	
aeb2d754	0	
13c774dd	0	
8a640aef	0	
e9d352eb	0	
50fd0cc6	0	
7f4cb1b4	0	
437e7b69	0	
d0e96f6b	0	
a60fba51	0	
36b35988	0	
1eb4a920	0	
f760f1cb	0	
3e470fe0	0	
2a3ca509	0	
dc45a886	0	
73620901	0	
4d3fba78	0	
9735d267	0	
198c2f41	0	
de581355	0	
c49fcab4	0	
4232c609	0	
33b899c9	0	
4f3b2e57	0	
b0bc46d1	0	
9552e8df	0	
6e68e31a	0	
bfc7a2e9	0	
183859d2	0	
136ca449	0	
99240573	0	
a9541452	0	
dc52bf0c	0	
7b6dc772	0	
d7aa0b6d	0	
4b0dacce	0	
a166548f	0	
2a7d3adf	0	
