#    Dat Name: Sony - PlayStation
#     Version: 20160506 15-27-53
# Description: Sony - PlayStation 20160506 15-27-53
#     Comment: 
#      Author: redump.org
#        Type: XML
#       Games: 8299
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
6af29073	0	
8acd8fb1	0	
8e5c4fb1	0	
a33c90e1	0	
4bacc93c	0	
cf946e6e	0	
20d12f7b	0	
7bd3b19f	0	
40fb0330	0	
f2614069	0	
c2d1c87a	0	
8df63204	0	
6e91b75f	0	
763e4df9	0	
da5649d7	0	
02f976df	0	
2693623a	0	
f8500248	0	
bbe6471e	0	
5a39ae64	0	
dfb6de76	0	
41c5e9a9	0	
f3ca2883	0	
00144b0b	0	
b892f25e	0	
1151a50d	0	
4e027125	0	
ccc970d0	0	
03b895d6	0	
354c1e67	0	
d4fb9c03	0	
71823d4f	0	
472333bc	0	
8034c7ff	0	
2b2c62ab	0	
6e470a92	0	
43b5dcb3	0	
e840038f	0	
44de2cad	0	
f17c2a33	0	
5ebdec9e	0	
e44b3ce4	0	
ecd57f0f	0	
f2a0fe35	0	
77378ecd	0	
bf13f644	0	
5ef44220	0	
c29e3e0c	0	
61e2caca	0	
ff432f4d	0	
b1180124	0	
d0c00243	0	
712042dd	0	
9880cffa	0	
be2ecda1	0	
9e61224f	0	
6e254db3	0	
fdcde564	0	
677b7ea9	0	
815a014f	0	
5b53f0a5	0	
334d7890	0	
c2562343	0	
18297ddf	0	
5f039d94	0	
5ee45f19	0	
4438d925	0	
5abf4e2f	0	
97adb113	0	
319d22bd	0	
a1754447	0	
33f11035	0	
b2aa55ef	0	
b1eff83a	0	
e5a37c7c	0	
d54c96bf	0	
b88cd9a2	0	
c6b38c88	0	
c5312c7a	0	
a6df4a3f	0	
007d9423	0	
7ef72ab9	0	
7f193386	0	
8eadd114	0	
7ebe2421	0	
38f2ca2f	0	
e273e958	0	
b2a89349	0	
dee1984d	0	
3a558193	0	
a4180391	0	
0f93b462	0	
a852ed73	0	
14bba9dd	0	
5d066096	0	
653490e9	0	
ea9e1e13	0	
5e980f98	0	
c8dd9a12	0	
9ca78f07	0	
96b3dbe6	0	
2f645ad6	0	
0eef1401	0	
852e5ded	0	
91cad2df	0	
b6faa72c	0	
ccdda3b5	0	
c740c3ff	0	
b86e0f52	0	
a9dbe00f	0	
d5fbdbf4	0	
55ea01bf	0	
53f83fc4	0	
c262518d	0	
28783402	0	
6c8e92d5	0	
6796d740	0	
0c793c93	0	
34eedfb3	0	
01b94ff1	0	
9d4dbbcb	0	
caa7ae7f	0	
b3be84f2	0	
6ce2e590	0	
7faf303e	0	
2b9971ed	0	
961f9b15	0	
6d13a28b	0	
8072fab7	0	
af67e8e0	0	
7a9e2a03	0	
fc7583cc	0	
d8c105c6	0	
4faca340	0	
f127d7d2	0	
7fcbff4e	0	
d99bb74a	0	
05e1cb5b	0	
8d3b7be7	0	
c6c32c8f	0	
b407f564	0	
b243b0a3	0	
1457c9cd	0	
05417db6	0	
d7f88c5a	0	
7991863f	0	
840b8208	0	
2ecd2fc7	0	
23e63cb2	0	
b29f774b	0	
2ddfc087	0	
5f96017d	0	
18f91338	0	
8aa9deee	0	
6ec002c8	0	
4dc8ad62	0	
1e66dedf	0	
7dbc9f4c	0	
e4467491	0	
cd7de81c	0	
eb7eead5	0	
c79238ae	0	
fc2fd557	0	
863dbd75	0	
c7e06718	0	
80009b75	0	
02a51407	0	
9c89edad	0	
a0c7fcd2	0	
d797097c	0	
bf926ec5	0	
72e3cd4f	0	
32561e57	0	
6eb03803	0	
eab8d04c	0	
a94b89e1	0	
b453fcb9	0	
c71ff0de	0	
7e2679e5	0	
26230af4	0	
ae80ff93	0	
340abbc7	0	
a3a2d900	0	
7454ee10	0	
12f16a40	0	
a273295a	0	
6b5fbe63	0	
e0489b40	0	
24a3bd41	0	
0760a357	0	
d9127ba4	0	
97ccbb4f	0	
d56ee5e4	0	
dcab4ac6	0	
46a14e18	0	
7a68e090	0	
1bfe5238	0	
99ab0120	0	
94fc9fd0	0	
9bf95604	0	
dc0abc0a	0	
7f51ebae	0	
393a14a9	0	
867fcdde	0	
7c51f37f	0	
caced7b4	0	
ef76f924	0	
9f43f0a1	0	
cf79a060	0	
558c21d6	0	
5cc244bb	0	
ae8706ab	0	
3c31a70e	0	
f206cadf	0	
55e66182	0	
29226f32	0	
3d25481e	0	
64c4be72	0	
8641966f	0	
ea25ad6f	0	
0626d2ae	0	
f1b8ae3b	0	
021de5fa	0	
4101c094	0	
d99b2fb9	0	
729cc2d3	0	
45f0e72f	0	
fb8772a9	0	
bd735367	0	
8db62444	0	
6cbae5a1	0	
025c58b6	0	
8ec62026	0	
40001fd5	0	
d2869fc7	0	
74fbb4a8	0	
83f2a2d1	0	
a7a0a386	0	
5c3fc94a	0	
ee4d343a	0	
e28a633c	0	
f5ff8351	0	
8bcdd5b4	0	
52274d87	0	
eab01f17	0	
e5e6a7e1	0	
42eab4d3	0	
2bffe515	0	
f59277ad	0	
d8340b3e	0	
4b50d22e	0	
28535294	0	
116d11c9	0	
048caddb	0	
c2fe8dc8	0	
947f4de0	0	
edc5b1d0	0	
3a6bd8ad	0	
b064cb15	0	
65bba6ec	0	
d5d570db	0	
ba8a4503	0	
f24375ad	0	
b725ddaa	0	
6601889b	0	
f7189b2f	0	
607d69d6	0	
380cba28	0	
d4bd767c	0	
14ed1531	0	
e0527dec	0	
8fabe501	0	
51d17a34	0	
2961f496	0	
df28a6f4	0	
21259fe5	0	
cb3a508c	0	
38bd90a4	0	
30735008	0	
0f0c3f67	0	
cb285ed2	0	
8635bb71	0	
9076b9ac	0	
5a993072	0	
d90a9a63	0	
8e900f6d	0	
1ea17f26	0	
7d12eff8	0	
a550ba72	0	
553cb437	0	
6285bc10	0	
1b004900	0	
88dad5ef	0	
2cab307e	0	
c9928215	0	
1ea1ac63	0	
5b49a511	0	
9b59eec7	0	
33a07ff8	0	
f4fec924	0	
d6b997b7	0	
d3717237	0	
1dc31cd8	0	
384784a4	0	
520376f1	0	
e1bd8c5e	0	
fe56b133	0	
0d85e04b	0	
d7a34564	0	
b5660f4d	0	
a22749eb	0	
c6f455bc	0	
2f7bb9a1	0	
82e382e6	0	
11a1ef22	0	
e2bf6875	0	
6e28a3fd	0	
f390d60e	0	
335d874a	0	
a2d4041f	0	
bb3a11c9	0	
d1ca6445	0	
57f26f12	0	
6a727c79	0	
ff52d787	0	
3235502f	0	
795a2295	0	
2087eecd	0	
d1460eab	0	
cd0ad73b	0	
1d3bc382	0	
b32be5a3	0	
6d64aa1c	0	
6b295ebc	0	
5caace45	0	
5ba1a361	0	
c704672c	0	
d490acaa	0	
4ec773bf	0	
936f3b1e	0	
435839e5	0	
7c4d5698	0	
ceb15bf4	0	
28dc0215	0	
bc6497c9	0	
77baf653	0	
036d1903	0	
bc7f8a57	0	
46a28cfd	0	
a03cd5aa	0	
3f3a76a1	0	
1dc02577	0	
f431d957	0	
b3d5e10a	0	
9521f6c7	0	
50d9ea34	0	
c71221fc	0	
6aaef31d	0	
4bd6dbaf	0	
9518ffc4	0	
4212ecf4	0	
20c46155	0	
0d02a882	0	
a7927970	0	
4867251e	0	
f56c34b4	0	
d93b3952	0	
82b89f3a	0	
f0e0806d	0	
32d117f3	0	
549dcdbe	0	
7edb80b5	0	
d616c51a	0	
80f8b623	0	
426d9df4	0	
446ae06c	0	
9afeb2c5	0	
2177a283	0	
020f99f4	0	
8b8c0d5c	0	
aaa1ef9c	0	
2c569ac0	0	
6e7d8480	0	
d42055ec	0	
bec20761	0	
59f66221	0	
187b32c2	0	
26b3a951	0	
dc353673	0	
e0b7cca6	0	
5bff2fb8	0	
69dfe423	0	
8423163b	0	
669c026e	0	
489a303f	0	
2208bdc8	0	
9dbd7085	0	
c9759ff1	0	
59a9b1a4	0	
a477bff7	0	
df2fe69c	0	
f8da68f7	0	
692defac	0	
742fd565	0	
820728af	0	
8c3b5c29	0	
e0f23e4f	0	
af2a5386	0	
a6445589	0	
d08ec300	0	
b93ab831	0	
525b775e	0	
6e74dd97	0	
bd16a292	0	
2f6a9026	0	
759e2384	0	
26ebfe67	0	
816b9c9e	0	
05911dc1	0	
23ca4da9	0	
522e2ef9	0	
13d71983	0	
185dc249	0	
2437145d	0	
fc11fa6c	0	
c6de10bd	0	
99fd1b91	0	
1081c2d1	0	
71c71343	0	
37b60938	0	
1c05cd68	0	
ac95f450	0	
b8ff0e5a	0	
e9643348	0	
0a6cfadf	0	
315bad6e	0	
9ef60074	0	
9b4d19a0	0	
b768b09c	0	
270a65cb	0	
b80413f4	0	
3c573f2e	0	
28ee0e9f	0	
5b301cc0	0	
cab5bab2	0	
7c811347	0	
8b82b365	0	
c793b67f	0	
7c051f9b	0	
70c0b096	0	
e36ce8d2	0	
ea8792db	0	
876dc888	0	
52732401	0	
7b0d19ff	0	
b7b61b9d	0	
2e0e63ae	0	
06863718	0	
82b786af	0	
52be803c	0	
5cbd36e8	0	
037888ad	0	
edc65439	0	
ffda3d6e	0	
e84f5beb	0	
d69adf23	0	
8132ab8a	0	
b9cf61d6	0	
bb977d5e	0	
d218c6ff	0	
5ad0f8e8	0	
e3a6ddd9	0	
ceeb2e46	0	
42dc3ce0	0	
8a6becbd	0	
5e9c3295	0	
83a9cfcb	0	
2ca9bc64	0	
c520b939	0	
1898e9aa	0	
4f62d29a	0	
c062bc97	0	
03e259e6	0	
f4986aeb	0	
9a4b16d5	0	
318b4721	0	
b8dae47a	0	
077f19f8	0	
c5e4ae21	0	
4a560723	0	
7b0c5f60	0	
528db2ae	0	
4b6f1f01	0	
ee2d6d39	0	
cbad2c10	0	
9fb04a21	0	
8648b6ee	0	
379ea580	0	
51b28c34	0	
6be70c14	0	
01111e7f	0	
3ab7f7e9	0	
a2585dd7	0	
38aa0173	0	
9df4cddd	0	
269b6a9f	0	
a30fb7af	0	
d6e6a75d	0	
ba8e05bb	0	
6760254f	0	
9c7177e7	0	
4161a95b	0	
f60a5390	0	
7b1f6e32	0	
61c3ab97	0	
6eb500c5	0	
eaf1273e	0	
5985131f	0	
c00ea0fd	0	
54b37d25	0	
7c85368e	0	
bb175316	0	
255eaea6	0	
3ede9007	0	
bc730bd5	0	
977e166a	0	
2d17192e	0	
5e94130b	0	
93e8d554	0	
70e70280	0	
916e140e	0	
6147eda6	0	
273be519	0	
ee3bda36	0	
7e0a2897	0	
fdae46ac	0	
82dc0c0b	0	
5e4ed7ed	0	
0c8f598d	0	
342acb7a	0	
3ef5effc	0	
12456b29	0	
0a96bef2	0	
abf89765	0	
2b1a0964	0	
b9907b9b	0	
d971a087	0	
22b9927b	0	
aa6c2f88	0	
1b7960f3	0	
df0437d7	0	
dba23a3a	0	
a406cf8a	0	
9a0f0825	0	
96d0bace	0	
500812b7	0	
9df2f626	0	
47cca6e8	0	
8c99a89c	0	
65f82485	0	
bd4b23f7	0	
62a058b3	0	
865bf511	0	
e9449747	0	
fd3dfaa6	0	
14b4b2f9	0	
0141ba12	0	
57c93319	0	
b99f5764	0	
2adf425d	0	
9faa23df	0	
948599f0	0	
18f23f4a	0	
d08f42b8	0	
baef7ab1	0	
6c73607a	0	
d96e19e8	0	
f7cf50a5	0	
72099866	0	
5036b760	0	
24986117	0	
8d95c945	0	
2c74d4ef	0	
88f4a0f0	0	
02fd2ad6	0	
664badb8	0	
961b67d2	0	
a5051dcd	0	
a4861b0d	0	
2ca69426	0	
a0c440b1	0	
80842d87	0	
95291c6f	0	
980d8f0f	0	
58dd036d	0	
707b95a2	0	
f370f9f2	0	
6df8bc2a	0	
dcdb635b	0	
cd206891	0	
7fb2a283	0	
374654e6	0	
f076778c	0	
75873f15	0	
d5c6e783	0	
2545dc15	0	
bb2d9ad2	0	
6549ee28	0	
23521798	0	
b1ceedc5	0	
20c192d4	0	
c8fd46de	0	
28a01e28	0	
2e55598e	0	
369470fc	0	
85168242	0	
93a78e18	0	
cf6b0dbc	0	
ba1b5192	0	
dbc28d20	0	
dc6a0a34	0	
ac7ff1e4	0	
a8e80da3	0	
f1fa5d85	0	
e6322571	0	
4b6a7f0c	0	
b475e828	0	
f8f3962c	0	
c5f04a15	0	
0cb1d0cd	0	
58e28722	0	
4c1d8bbe	0	
ce482e93	0	
837b784c	0	
bba594b5	0	
fe954744	0	
89d408c4	0	
839f7abc	0	
5713f7df	0	
9480a900	0	
e65eddeb	0	
b29c23d4	0	
453917af	0	
54fce8d1	0	
11c62002	0	
9a54657a	0	
f457c54d	0	
0e821e08	0	
b6483960	0	
25dbcc97	0	
5f3b9812	0	
ed51e9d5	0	
ca2a5e74	0	
fa81fa1e	0	
ce239f24	0	
100e050b	0	
86fcc845	0	
a1a09735	0	
b3409164	0	
c3279de1	0	
905e51e9	0	
2621b9d9	0	
0d8eb63b	0	
951bc17f	0	
d2f4bf3a	0	
0dd82f4e	0	
c20db1e7	0	
59e88a8e	0	
32375a36	0	
c28c3027	0	
2d6ec134	0	
a8e01b4d	0	
91f88432	0	
b900a023	0	
70b9af7c	0	
2f7737a3	0	
17116d30	0	
a084adb9	0	
70da914b	0	
ce971925	0	
486540f4	0	
8bc36e98	0	
9ad0a954	0	
c15b5280	0	
2824f12b	0	
e92b417d	0	
26995c2f	0	
32a0ebec	0	
cc7d430a	0	
7a3953f3	0	
6c1e2885	0	
a89c1f47	0	
5b04a6ce	0	
a355ee12	0	
e3ed3b2f	0	
d8011490	0	
5920d60a	0	
a0886a73	0	
fce26198	0	
f6e0763e	0	
82212298	0	
ef52a2cd	0	
47ba103a	0	
e13e85bb	0	
d9728bb1	0	
51b4c6ed	0	
da46cb2b	0	
9bd04ccf	0	
ad3fdb23	0	
f16450ac	0	
