#    Dat Name: Sega - Mega-CD / Sega CD
#     Version: 20160430 08-07-47
# Description: Sega - Mega-CD / Sega CD 20160430 08-07-47
#     Comment: 
#      Author: redump.org
#        Type: XML
#       Games: 272
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
5dcdb4d1	0	
92433e7f	0	
e097ccb1	0	
43a4cdab	0	
22dada64	0	
21ec5754	0	
7a7c92ce	0	
a8575738	0	
53606200	0	
2c333921	0	
d5e65adb	0	
271d08a5	0	
e8bc0911	0	
2ff32534	0	
fdd810d0	0	
960dbfe8	0	
27929181	0	
9624fdc0	0	
08bbee8d	0	
0fa53c4a	0	
05f39d7a	0	
f9f096b0	0	
cc6bbd6d	0	
16a98597	0	
4a59a99d	0	
7885e25c	0	
55a9fdc0	0	
cc1f7adb	0	
703a51d7	0	
c96405e4	0	
50f7b9fe	0	
fc13baac	0	
a4a025c0	0	
2ff858a6	0	
48b3bce9	0	
b9da1228	0	
2ded92c1	0	
ac4f14dd	0	
8373a32a	0	
7bb839ac	0	
ed3385de	0	
2de1f126	0	
e8ff23d9	0	
6a22d57f	0	
71b4a652	0	
788cae42	0	
22e3e9cb	0	
950740ca	0	
8a944768	0	
e5f977d4	0	
074df2df	0	
88f22ef7	0	
98023840	0	
ba6c434f	0	
88c8e0ea	0	
3c2805b9	0	
d3c95157	0	
dcaf14cf	0	
5f63737b	0	
d31a7710	0	
bc45daa9	0	
0cffe1f4	0	
07afa700	0	
70e5e928	0	
d8bf46ae	0	
9d6fcfb4	0	
bc38d7bf	0	
835611b8	0	
2466337b	0	
842caffb	0	
e4326c02	0	
fa9c605a	0	
cab75e4d	0	
287a6af0	0	
7da8c539	0	
836ff659	0	
82a4757e	0	
1061e8d0	0	
d139a27a	0	
351ebeaf	0	
835a4bc5	0	
3f18042e	0	
75084e91	0	
57eb511e	0	
1cdf3f9d	0	
ef3cd520	0	
a8095083	0	
aac6c5e4	0	
0e5c6aad	0	
84151829	0	
960f667e	0	
caf99149	0	
06687b71	0	
2ca09e3c	0	
e01c976d	0	
3277e740	0	
71a6d750	0	
1f4b8e95	0	
9f3d149d	0	
478ee677	0	
1e723449	0	
41cfe2e9	0	
d6e0b3ad	0	
910590e4	0	
845ebb73	0	
b0f205ba	0	
4449d7c8	0	
a6ac6490	0	
95938b1c	0	
298ccedb	0	
f93f9f70	0	
9cd69eaf	0	
e805915b	0	
5cb1b995	0	
c7a03f80	0	
30ea9695	0	
54ca2263	0	
0539fb17	0	
9a0b2af3	0	
059c4c38	0	
699e975f	0	
6ca5bb0d	0	
60e854eb	0	
10557e4c	0	
13476d7a	0	
fc13632e	0	
7b3a369f	0	
9a6b04da	0	
11e42f76	0	
6a130714	0	
228ad8f2	0	
1534f8e9	0	
820c642c	0	
6ef90746	0	
8b19573e	0	
37ed4d28	0	
b5417559	0	
7166d4c3	0	
fe436598	0	
92719c4e	0	
78f5d366	0	
95fe38a8	0	
0ff51be4	0	
168fc45a	0	
1c4cc3da	0	
900cf0aa	0	
133b76ce	0	
40406846	0	
7c560ae9	0	
2dcf0fdf	0	
25c42ac9	0	
611a8736	0	
ee29257a	0	
18cdabb5	0	
a098ba1b	0	
b76d7105	0	
4608905a	0	
64ae6fe7	0	
894e9ec6	0	
b4ff562b	0	
b063e0b0	0	
d721f892	0	
df66bec0	0	
8d9899d5	0	
2228b82d	0	
b39b54a9	0	
13a818bd	0	
bce0c1a5	0	
bbd34570	0	
57d2c808	0	
09ec5ecb	0	
971555e4	0	
cc3e7ed3	0	
eab2e352	0	
94a8bc5d	0	
c0cc73cb	0	
0a21e143	0	
a656e56c	0	
51ff653f	0	
05674c5e	0	
b02c8668	0	
2ae16abb	0	
eacd1edf	0	
9ac27f7d	0	
2ddca54a	0	
f637e957	0	
86bfb9dc	0	
7cd2b026	0	
9868681b	0	
19f2fe42	0	
eeb7eabc	0	
56e1999a	0	
cd0956c2	0	
a3ec0131	0	
85c357b2	0	
0798c2c5	0	
01ec6b1c	0	
49805f7a	0	
61f397c9	0	
910c8022	0	
f26dc7c0	0	
959f913e	0	
e23a69ba	0	
fff2c480	0	
9df616af	0	
aeabfa15	0	
fa7a2c20	0	
7f354de1	0	
f082a8d2	0	
a3cd99bc	0	
2af4c40e	0	
62710dd8	0	
76372091	0	
fe28a701	0	
364dcce6	0	
62b0f498	0	
d1cac018	0	
9f469f77	0	
8a885ad7	0	
d17982a1	0	
baa621b6	0	
2b378f73	0	
8f4a5a08	0	
f5b7b994	0	
bffc8823	0	
a1e326aa	0	
a06699a4	0	
6e02edce	0	
daed7961	0	
fc872148	0	
7e2e5303	0	
cec64952	0	
7c013014	0	
b6052616	0	
ae2a9a7f	0	
2e4f2240	0	
435407c0	0	
675f904b	0	
e5bd9e52	0	
267f1036	0	
592ed29f	0	
7d003722	0	
146a7003	0	
6d93ebf8	0	
a3cd6ef9	0	
ff0efb8f	0	
1811bb09	0	
e8993276	0	
0a7f2b46	0	
2516e9a2	0	
8ad9ee3c	0	
f866e7f8	0	
66014f01	0	
751632b0	0	
15fa1ed1	0	
0f6d0a02	0	
4dc90270	0	
592fb2ff	0	
14ccaacc	0	
66a86c90	0	
d25c7b1d	0	
cbd87235	0	
06e44921	0	
be36bab3	0	
17a400c7	0	
16e4b510	0	
d11bb050	0	
8a66143e	0	
feabe4bb	0	
cb122ee9	0	
01fc8b2f	0	
49f175b5	0	
