#    Dat Name: Nintendo - Super Nintendo Entertainment System
#     Version: 20160506-075406
# Description: Nintendo - Super Nintendo Entertainment System
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 3386
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
05fbb855	0	
e95a3dd7	0	
0d77933e	0	
f2ee11f9	0	
f0810694	0	
ad4ad163	0	
fbf3c0ff	0	
9008c18a	0	
b090235a	0	
b3abdde6	0	
1ad61bd0	0	
1bc71881	0	
05c0da54	0	
24d4cfe9	0	
e0dc8ad7	0	
aad3a72d	0	
0944a5c3	0	
f953b79a	0	
946313fb	0	
27ff5ba1	0	
4a736c38	0	
6c5f1a18	0	
0da18a10	0	
09097b2b	0	
a27e2664	0	
29a78af9	0	
eac3358d	0	
4901f718	0	
3cbc264f	0	
c752f5df	0	
bee9b30c	0	
630e16a1	0	
ae38adb6	0	
98b07db8	0	
82497f19	0	
cd80351c	0	
2e8034ab	0	
644e7fbf	0	
153a00a7	0	
64d68066	0	
20143571	0	
96b0c568	0	
b3ef81f5	0	
e4925f15	0	
cfab3bba	0	
1664ae48	0	
62a7c74b	0	
dc8f5734	0	
7448d45c	0	
cbc4868e	0	
f194d00a	0	
fa0ce63a	0	
919f23cb	0	
242b8181	0	
8c05ed51	0	
54302a46	0	
efafab12	0	
55938e4e	0	
c8382f39	0	
b3f57cc6	0	
6b452801	0	
f6643226	0	
a533bc97	0	
8d0b3c85	0	
167e4c15	0	
ee62aa7e	0	
eef47b5e	0	
eda59a2a	0	
0aa75fa8	0	
4cf5d45f	0	
d0550624	0	
44ff6e78	0	
63069939	0	
a7ad3e5d	0	
1aeb696b	0	
90ee8c61	0	
124d8e4d	0	
52fdfab4	0	
46ca01a9	0	
1b6add7b	0	
870427d0	0	
e344627b	0	
05798da8	0	
378613b0	0	
8a21b63f	0	
98e2ac15	0	
77713c95	0	
a31d1f58	0	
1803cf20	0	
2d5876ff	0	
ebefbde2	0	
82f7f710	0	
9624e6ed	0	
61753981	0	
76b151fd	0	
080ac1b5	0	
eea38aed	0	
d9879a39	0	
d1ae87be	0	
ec3edb9e	0	
3da108c4	0	
ea6ae8a9	0	
78eca50d	0	
c28a80f6	0	
d93e07a8	0	
cf0f14d2	0	
83b40af2	0	
9ea4ad6f	0	
95487dce	0	
c0e62c02	0	
4ca1696f	0	
b6dbf57b	0	
de13ec70	0	
d562233e	0	
02394f36	0	
c891b297	0	
e1ccce49	0	
c9067671	0	
d239398f	0	
2aa7777b	0	
f73a6e33	0	
51a5f489	0	
06388f71	0	
395bade3	0	
ff63ec26	0	
7f5a6f91	0	
7b164161	0	
d436489b	0	
7a8bbafa	0	
b50503a0	0	
143051a5	0	
9fa74067	0	
43b1aad9	0	
506a8f77	0	
24fe792f	0	
6b54be97	0	
83af6152	0	
5ddedc28	0	
19e09c6b	0	
f43f6743	0	
b0a02734	0	
f812b533	0	
a0677d80	0	
8d56598b	0	
4f593c46	0	
f51f07a0	0	
1b83c440	0	
5613f172	0	
1cf3c877	0	
94bfcc92	0	
c1e2bb56	0	
1c058b7d	0	
5283e505	0	
3b73610e	0	
29fbd13d	0	
726b6c5a	0	
8aff96d0	0	
925206ea	0	
832a27c2	0	
a2d4b003	0	
c5058634	0	
7dc5b7b3	0	
6742d51c	0	
205654dd	0	
6288d8ed	0	
903348f5	0	
d9b5e9cf	0	
42f98e71	0	
5bed3661	0	
9ce7d5ba	0	
e87dfdf6	0	
b9cd2ff3	0	
d933bd8d	0	
9f2ba6a9	0	
46043454	0	
11e5bc5e	0	
59c00310	0	
ad80e50e	0	
5f5e9b0b	0	
99a1f158	0	
43d3f2b2	0	
8b8afd6f	0	
190ff436	0	
d79c1ec5	0	
dbf76bfd	0	
54901522	0	
64b76ceb	0	
b72bf1f2	0	
c54ae0f9	0	
5316dd26	0	
da2ad2fe	0	
e38c4a5b	0	
92afab02	0	
8cac063c	0	
fa29e335	0	
56c7eb66	0	
bbf1cf8d	0	
48f15b03	0	
617ac925	0	
1783e3a2	0	
043f3773	0	
8b18ac01	0	
d5b09eef	0	
6810aa95	0	
2e70c844	0	
fff9deab	0	
956e183c	0	
f77f160b	0	
15cf4bd5	0	
bda2e412	0	
4d1352ad	0	
beebafa2	0	
fb5747ac	0	
2743017d	0	
256d4bc4	0	
d63831a5	0	
20aa9b78	0	
7f6ed86e	0	
fb8ed6aa	0	
3aee8812	0	
1b565be7	0	
25c69316	0	
7955ebfe	0	
b319c546	0	
b363fc99	0	
1a06db31	0	
4e8b2ecb	0	
468d8cdd	0	
25391c9f	0	
ccd77b37	0	
e901a947	0	
8ba3d382	0	
53d8410e	0	
f02dcb37	0	
11713982	0	
80e66c55	0	
a56323c1	0	
02a442b8	0	
4aee5abb	0	
b0fd1854	0	
10f03e3c	0	
e4a271bf	0	
b6b92ae0	0	
25440331	0	
f4d20413	0	
ad2effc3	0	
3b01d0a3	0	
2d1dd10a	0	
856beab1	0	
b39af3fa	0	
edf476b3	0	
beb16e2d	0	
5cce2e55	0	
efc21f71	0	
4a62057d	0	
1351da2a	0	
362620d2	0	
82b97464	0	
d10c3cfa	0	
9485ec0f	0	
9fea854d	0	
5d7b8bcb	0	
597aa981	0	
9401d956	0	
4328bd1b	0	
1899aaff	0	
f3ddf35f	0	
247680b9	0	
00cc468b	0	
c0b632c0	0	
9540e59d	0	
ac443d87	0	
de551746	0	
718cb0df	0	
9ee3835d	0	
5cece690	0	
6e4650a2	0	
a087b6ad	0	
74f70a0b	0	
ab43e910	0	
bb89e67e	0	
e822065c	0	
410cee18	0	
e6c0b5da	0	
c788b696	0	
fd96a42f	0	
e0b0bbec	0	
a4ab3b33	0	
67cdacc5	0	
f44859af	0	
1d8014f6	0	
9b846e8c	0	
77bbf192	0	
fbe35998	0	
9ebfe809	0	
1200f3cf	0	
52e4dc92	0	
2f6326b1	0	
8fe49f80	0	
49ad3f9c	0	
e278e9b4	0	
d0d172fa	0	
74a94d60	0	
ab124be7	0	
444a52c1	0	
49da572f	0	
3f3a7180	0	
528b029b	0	
91b3db54	0	
832c0cb6	0	
f605c0ac	0	
0c4b876b	0	
15484afd	0	
c2e91694	0	
8005054d	0	
62d31295	0	
3266fd23	0	
85ac87d5	0	
6b3b7b52	0	
ba921443	0	
c1357473	0	
ce2eaa41	0	
f48dc221	0	
db0814c5	0	
5fa9485c	0	
21392b00	0	
a95c1fff	0	
f3b5cbb1	0	
b95fe0a0	0	
bd0a0c0e	0	
ee314ae5	0	
89178bc0	0	
acb31f2a	0	
456ab5c8	0	
5b9aa73a	0	
e5423eb6	0	
81db73c7	0	
9fd460a4	0	
26b0cee3	0	
3e04b246	0	
16c63d9c	0	
e2b26d99	0	
8675b9df	0	
9e772b8f	0	
4da4a34f	0	
89b31066	0	
8bc5b8de	0	
a7677e65	0	
696458b3	0	
a3b745bc	0	
2b92dc3c	0	
7c4887e1	0	
4ee9ee99	0	
d89c8156	0	
07cad002	0	
bcd59d08	0	
2905c3dd	0	
98ef8414	0	
6b953095	0	
8900f073	0	
76e01ccb	0	
a9d604ea	0	
1f74e668	0	
86981887	0	
d84bdfd5	0	
15c93942	0	
bc671e15	0	
552bf16a	0	
557fe962	0	
bc27bca6	0	
846151c8	0	
f4defcae	0	
178d0201	0	
d7452215	0	
788e42c9	0	
ad26cc9e	0	
1d2eae52	0	
3280c18f	0	
70f5d440	0	
56d63328	0	
47ec317e	0	
b3258f38	0	
cf8a8dba	0	
497d7c95	0	
0c34d7b5	0	
a5db02e9	0	
d5f808ca	0	
4d014c20	0	
17c9f363	0	
2d206bf7	0	
fba012cd	0	
e237ec45	0	
c024f88f	0	
5a13366c	0	
9d5ce088	0	
3af7c64a	0	
ae782895	0	
b581e100	0	
c814e3c2	0	
b360f7af	0	
caa9abf1	0	
20b5c364	0	
3a571132	0	
7ad5ccac	0	
5c00f14c	0	
a9e67214	0	
12f8a26c	0	
cbcd0dad	0	
f29f6651	0	
a62b84ff	0	
a4fbe827	0	
a27940c1	0	
ce842c6d	0	
005c77f5	0	
5e2c24f6	0	
9304044a	0	
0937a72f	0	
2a075f4b	0	
549a163e	0	
8a24fba8	0	
84da7cfe	0	
ffdf4355	0	
8f3deca5	0	
b8cfe377	0	
efa3a034	0	
edf7ebb9	0	
115233db	0	
281244b0	0	
55964905	0	
44e60e58	0	
9a14c57d	0	
bc2e1304	0	
0730c37c	0	
236932e0	0	
61b26167	0	
a26dc1de	0	
582eed3d	0	
36c23f9a	0	
24373cc6	0	
79663a93	0	
42d0c418	0	
b5799f9c	0	
19ea457b	0	
64034b07	0	
ed8bcbf4	0	
44018650	0	
f493414b	0	
4dfa05b3	0	
aca397e8	0	
4a5263db	0	
48eeccb3	0	
24230807	0	
d18a00cd	0	
f8dee029	0	
5f02a044	0	
dfe9cc90	0	
8813029c	0	
c577d666	0	
be764d4c	0	
63883e1e	0	
a5d41d2f	0	
2763fd4f	0	
34f2685e	0	
eba309c0	0	
0fb50ca2	0	
39ca5291	0	
5b09f3ad	0	
a6c98ffe	0	
eebc4170	0	
164771b5	0	
4cd45939	0	
3e828e49	0	
cf54f1b2	0	
299df5fe	0	
c5341764	0	
7b9793b1	0	
f77aca0a	0	
7f1aaebc	0	
125a0c22	0	
ef77535e	0	
42c25ac1	0	
72839930	0	
caad18dc	0	
59909eb5	0	
7019b1f1	0	
6e42d71b	0	
9ed82c00	0	
ca46fd3b	0	
65792d05	0	
a567957c	0	
012ef33d	0	
5a2b7dac	0	
31a1b85a	0	
8afe2f91	0	
287f10cc	0	
d5bae4ff	0	
c8386172	0	
e8236ad2	0	
ccda70a8	0	
8ee7faa5	0	
65cd17e3	0	
3e50c7c2	0	
7d6c9203	0	
8516c373	0	
32129967	0	
19bdcb19	0	
525ffb26	0	
32e29079	0	
75eeeb3f	0	
7e97ae6a	0	
5f3e5279	0	
36768b55	0	
b78bae0e	0	
cd989804	0	
9edc5a7d	0	
8eed024a	0	
4ce26787	0	
fcdf43ca	0	
21b47e62	0	
b800a4fb	0	
954340f8	0	
3d0d6fdc	0	
c495320a	0	
94152717	0	
dbf4a8ab	0	
6c043bf1	0	
0354f4b1	0	
9dbc2330	0	
61a86c7f	0	
9f2c2633	0	
fc353400	0	
94c83779	0	
a1684b6c	0	
37ab70e5	0	
0bc19d72	0	
c2d2150c	0	
f716c24d	0	
1ed5d2fa	0	
d60a27a6	0	
d56c21a1	0	
7a33e836	0	
17657db6	0	
c946dca0	0	
3eaa5697	0	
762af827	0	
0e204fbd	0	
2ea6b7e8	0	
4c794a4d	0	
2eb33785	0	
006364db	0	
4e2d90f4	0	
0551fe84	0	
448eec19	0	
360243e4	0	
e5d722b2	0	
09e85ea6	0	
1889feef	0	
ceeb7c32	0	
51bc2909	0	
55e44983	0	
d343b398	0	
560c5eab	0	
4097bc01	0	
1aa002d6	0	
e80f6b65	0	
98a96ae8	0	
ca1eb161	0	
f1110fad	0	
e71b7c31	0	
63ce5132	0	
038212ea	0	
407c5c24	0	
2bf7cd65	0	
a6dc166b	0	
f4ab1557	0	
8f24f886	0	
ea7abad1	0	
8c7780bd	0	
d6e464b7	0	
a5e37609	0	
081fde86	0	
cbfde2d0	0	
3172cd4f	0	
d531289b	0	
32b17409	0	
ade7b968	0	
593eefe0	0	
52fc7228	0	
98bb6853	0	
13836bd2	0	
bc955f3b	0	
33304519	0	
70bba233	0	
9b306e64	0	
f409c139	0	
ab893412	0	
81bf8718	0	
4aef99f3	0	
304fdb92	0	
24ffe7fd	0	
0cf53835	0	
c6cd0bed	0	
9d291732	0	
b0a016a2	0	
7dae5c2a	0	
cc24110a	0	
4b17a200	0	
ab5a9e40	0	
c62f138e	0	
78aea085	0	
33ce298f	0	
87aab79a	0	
9d7bd920	0	
e8798f65	0	
57cbd9af	0	
1cc662cd	0	
b708add4	0	
89a67adf	0	
7a1ba194	0	
aa79fa33	0	
0dfd9ceb	0	
1b644433	0	
ebcc121c	0	
dd49911e	0	
a7a4be9b	0	
8606d69b	0	
d0117d67	0	
75058ede	0	
c2cff05a	0	
2b0069c0	0	
26849f90	0	
404bec17	0	
ca8ff946	0	
727f1593	0	
0eafd03c	0	
dc9bb451	0	
84ab251b	0	
6f8ed108	0	
3a4a47eb	0	
b1eaad9e	0	
