#    Dat Name: Sinclair - ZX Spectrum +3
#     Version: 20130225-035911
# Description: Sinclair - ZX Spectrum +3
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 127
#       Flags: data_imported=False from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
1a2bb165	0	
caa251a2	0	
6e2e4951	0	
bcc6e00c	0	
93f1c3b6	0	
81fbf5ad	0	
cb66aed6	0	
c9dc8d41	0	
b1030311	0	
74650740	0	
5ae072b5	0	
3596b16d	0	
50f0a090	0	
ba69a18a	0	
cfbb80af	0	
3733ffa8	0	
417b84f6	0	
e949bc77	0	
9495182c	0	
e4844d2b	0	
2483f8c7	0	
e6c6f9eb	0	
94c24ad3	0	
77098dc3	0	
ba153a21	0	
893495d8	0	
49f2d22d	0	
91f3f4f0	0	
e1961552	0	
880592d1	0	
f98bb0e1	0	
96979e7f	0	
e7082930	0	
ffb8008d	0	
17963acf	0	
2f0ed1da	0	
2a1c53f7	0	
4c4c4cc2	0	
7d156d4d	0	
59a83634	0	
3c8cb09d	0	
5f056018	0	
2aa400b2	0	
2793e98f	0	
fc8bb800	0	
d25d5414	0	
de0e3c7f	0	
78fa8fd0	0	
38cb136b	0	
f66db1bb	0	
d2f3019f	0	
faeb7b0f	0	
152e807b	0	
ed3f624d	0	
ef3b80cd	0	
a74f1114	0	
8943aba3	0	
7c19c332	0	
79c89bd0	0	
2b61f4db	0	
d36cea11	0	
dc32481a	0	
802fa03e	0	
a788f7e3	0	
62943f46	0	
8d7630b6	0	
4eb0abeb	0	
3c78a485	0	
2ecaeee7	0	
5e7c8a54	0	
ef9157eb	0	
93e4fc20	0	
604502ad	0	
f987b804	0	
468012a2	0	
c42e0870	0	
95e093a6	0	
56fe10dc	0	
2cdff17b	0	
e1e4448b	0	
34d8887c	0	
8402bbeb	0	
87c57f24	0	
d7db38ed	0	
84a1fc8e	0	
ee04c2c3	0	
95160028	0	
dcedfec7	0	
ddd2f964	0	
e1a23873	0	
8e3df69a	0	
fd27626b	0	
9fbe4d56	0	
12e901ee	0	
cb42ee00	0	
a6c33f24	0	
acdfe6d4	0	
bffdd16e	0	
9c96fd7b	0	
6945a61b	0	
6d638747	0	
cb347afc	0	
f7406cf3	0	
6f6134a2	0	
8bfbfec7	0	
93bc0467	0	
2bc39232	0	
e87a9910	0	
20a43fbb	0	
4349a0e1	0	
3f3b3a3e	0	
aef0bdf1	0	
5cba9f99	0	
1125e88f	0	
da207f08	0	
c83cc174	0	
459999a2	0	
9e5325a8	0	
48eb67ce	0	
98358646	0	
4df85c44	0	
2ebf7637	0	
18f7df7f	0	
20b95f60	0	
12540648	0	
1daebfa0	0	
51a0d849	0	
